GeneSymbol	PosteriorP	Selected	ConvergenceIter	KnownCancerGene		BestSSN
VHL	0.9868747724775206	true	926	true	Set(FBXW11	any	KDR, EPAS1	any	KDR, EPAS1	any	VHL)	5.761940663022009
ZNF512B	0.6372982587280649	true	-1	false	Set(PBRM1	any	ZNF512B, ATRX	any	ZNF512B, VHL	any	ZNF512B)	5.541521962900474
EPAS1	0.478046196743879	true	-1	false	Set(FBXW11	any	KDR, EPAS1	any	KDR, EPAS1	any	VHL)	5.761940663022009
PBRM1	0.4042801810128025	true	-1	true	Set(PBRM1	any	ZNF512B, ATRX	any	ZNF512B, VHL	any	ZNF512B)	5.541521962900474
TCEB1	0.4041225550459736	true	-1	true	Set(TCEB1	any	VHL, PBRM1	any	ZNF512B, VHL	any	ZNF512B)	5.500842004809624
HIF1A	0.32193911578998324	true	-1	true	Set(PBRM1	any	ZNF512B, HIF1A	any	VHL, VHL	any	ZNF512B)	5.0597585633656355
TCEB2	0.23099805264584122	true	-1	true	Set(TCEB2	any	VHL, PBRM1	any	ZNF512B, VHL	any	ZNF512B)	5.067829302917405
MDFI	0.21973484960833067	true	-1	false	Set(MDFI	any	VHL, PBRM1	any	ZNF512B, VHL	any	ZNF512B)	5.067829302917405
APC	0.20754059166369598	true	-1	true	Set(APC	any	EPAS1, EPAS1	any	VHL, APC	any	DST)	5.434762703007482
CUL2	0.2005702782705856	true	-1	true	Set(PBRM1	any	ZNF512B, CUL2	any	VHL, VHL	any	ZNF512B)	5.067829302917405
ARNT	0.17132329807327878	true	-1	true	Set(ARNT	any	NCOA2, EPAS1	any	VHL, ARNT	any	EPAS1)	5.021187725494051
FBXW11	0.1697074458565449	true	-1	false	Set(FBXW11	any	KDR, EPAS1	any	KDR, EPAS1	any	VHL)	5.761940663022009
SH3BP5	0.16094244862481616	true	-1	false	Set(APC	any	FBXW11, APC	any	SYNE1, SH3BP5	any	SYNE1)	5.213952137716367
SQSTM1	0.15995695195802379	true	-1	false	Set(EPAS1	any	SMAD3, EPAS1	any	VHL, SMAD3	any	SQSTM1)	5.441978832176932
VEGFA	0.14505939369559417	true	-1	true	Set(FBXW11	any	KDR, VEGFA	any	VHL, KDR	any	VEGFA)	5.3335014729872094
