TCGA-46-3768-01	1											1				1							1																																	1																																																																															1	1																	1																																																																																			1																					1						1																																																	1																																																					1																			1								1																																																																																																												
TCGA-37-3783-01	1											1							1		1													1																										1																							1																																																																	1																													1													1																																																													1																		1																							1					1																																																1					1								1														1																								1											1	1													1															1																																															1																	
TCGA-66-2755-01	1											1							1				1					1																			1																																1																																																		1																												1																																																																																			1																																																1																																																																						1																																		1																																																									1																																																			
TCGA-66-2759-01	1											1							1				1																1																																																															1																													1							1																																											1																																																																																																																																			1																									1				1																						1									1																																						1							1																																																																																			
TCGA-18-3407-01	1											1							1				1																																																																																							1																																		1																																																																																	1																																																																																	1						1																																																																																																																																																				1																																								
TCGA-43-3394-01	1											1											1				1																																																																									1																																																																																																																											1																																																																																																																																																																										1																																																																																																											
TCGA-22-4604-01	1											1											1								1																																																	1					1																																																																																																				1																																																														1							1																																																																										1																														1																	1																														1																																																																													1																		
TCGA-66-2787-01	1											1											1																																				1																																												1				1										1																					1						1																																										1																																									1									1			1																																																								1				1																																																			1							1	1																																																																																												1									1												1											1													1					
TCGA-66-2770-01	1											1											1																																																														1																																																																																																			1										1														1									1																																					1																																									1																																																																																																																																																																																															1														
TCGA-22-5474-01	1											1											1																																																																																																	1																								1																																																		1																																																																																																																						1																																																																								1																																																																																																																				
TCGA-39-5019-01	1											1											1																																																																																																																																																	1		1																				1																											1				1																																																																										1																																																																																																																																																												1																																													1				
TCGA-34-5929-01	1											1											1																																																																																																																																																																					1																																																																																													1														1																								1																																																						1																																																													1																	1																																																	
TCGA-60-2712-01	1											1											1																																																																																																																																																																																					1																																																																																																																																																																																																																																													1																									1																																		
TCGA-66-2786-01	1											1																												1																														1																								1																																													1																																																																																																																																																												1																																																																																																		1																																																																																									1																		
TCGA-37-4135-01	1											1																																															1																																																																																																																																																																					1																			1																																																																	1									1																																									1																																		1																																	1																																							1																																				
TCGA-22-1012-01	1											1																																																							1																																																																																																																																									1																												1																																																																			1																																											1																											1			1																																									1									1																																																	1																													
TCGA-39-5035-01	1											1																																																																																													1									1																																																																																																														1																																		1																																																																																																																																																						1																																																													1																															
TCGA-33-6737-01	1											1																																																																																																			1												1												1																													1															1																						1																				1																		1		1												1																											1																																																			1																										1	1																																1		1																													1																				1						1																		1																							1												
TCGA-39-5028-01	1											1																																																																																																															1																							1												1											1										1																																										1																																																																																																																1																																																																										1																																																																																													
TCGA-33-4586-01	1											1																																																																																																																											1																																	1						1																										1																																											1																																																																																																																																																																														1																																	1	1																																							1										
TCGA-66-2768-01	1												1																																					1																														1																																											1											1							1																															1																																																																																									1											1																																																	1																																																											1																															1																																																																							1																		
TCGA-34-5239-01	1												1																																														1																					1																																																																																												1																																1																																																1																																																																			1																																																			1																																																																																				1																												1																		
TCGA-34-5236-01	1														1								1																																																																																																																									1																																																																																								1																																																															1																															1																																															1																			1													1																										1						1																						1																																									
TCGA-66-2794-01	1															1							1					1					1																																											1																																			1																																										1																																																																																			1				1																																																							1																																								1								1								1						1							1				1																1														1							1																																														1																																																	
TCGA-66-2765-01	1															1															1																												1																																																																																														1																																																																																			1																																																																															1																																															1																						1																																																																																																																				
TCGA-39-5036-01	1																1						1																																																						1												1	1																	1		1																										1																																1																							1																		1							1								1																																																										1														1						1																											1	1																																																																															1														1										1																												1																																								
TCGA-33-4582-01	1																	1					1							1																						1			1									1																																																																																																																																																				1		1																									1																																																				1	1			1																								1									1																																																						1																																											1																																																																											
TCGA-51-4079-01	1																		1				1			1		1								1																		1																			1									1																																							1					1														1																																																									1															1								1																				1																										1										1								1					1						1															1																											1									1								1										1																												1										1																										1													1		1		1				1								1																																											
TCGA-33-4547-01	1																		1				1																1																								1																														1					1														1																															1																					1				1	1																																																					1										1																																																															1																																																									1																																																																																																																						1					1																									
TCGA-34-5232-01	1																		1				1																																																																							1																																																																																1												1																																					1				1											1																																																																																	1					1									1																												1																																																																																											1																																																
TCGA-22-5491-01	1																		1				1																																																																																1								1																																	1																								1																																1	1																							1																									1																																														1																												1														1																						1																																																																																1	1														1										1																		1							1							1				
TCGA-46-3767-01	1																		1						1																																																																				1			1																																																																												1																																																																							1																									1																																																																	1			1																																		1																																																																																																																																		
TCGA-60-2724-01	1																		1																																	1																																																																														1																																																													1																																																																																														1										1																						1																			1						1																																												1														1						1																																																																																														
TCGA-66-2791-01	1																					1	1		1			1												1			1							1														1						1																																																																	1																																																																																																							1		1	1																						1						1																																																								1																																	1						1											1														1										1																														1																																						1																														1			
TCGA-60-2711-01	1																						1			1										1																		1																	1											1																																												1																																																																																						1						1																																																										1																																																																																																																					1									1																																							1																1																																											
TCGA-21-1077-01	1																						1					1																						1																										1																																																																																																																																																																				1								1																					1																										1																						1																																															1					1				1																																																																							1																1																						1																	1	
TCGA-60-2719-01	1																						1																																																	1																																																																																																																																																																																																																																																							1																																																																																							1				1																					1																																																																					
TCGA-66-2782-01	1																						1																																																				1																																																																																																																			1				1										1																		1		1																																																														1																																																								1																															1																																												1																																					1																																														
TCGA-60-2721-01	1																						1																																																																													1																																																																																																																																																																		1																																																																																																																																																																																																																																														
TCGA-22-0944-01	1																						1																																																																																																		1																												1																																															1																																																																																																																																					1																													1				1																					1						1																1																																																																																															
TCGA-43-6770-01	1																						1																																																																																																																														1																					1																																																																																																																								1																																																																																																																																																														1	1																																																			
TCGA-22-5482-01	1																						1																																																																																																																														1																																																	1																																																																																																																		1																																																																																																																																																																																												
TCGA-37-4133-01	1																						1																																																																																																																																																					1																																1																																																																																			1																																																																																																																																																		1											1																1																																								
TCGA-22-5480-01	1																									1										1																		1																			1									1																																												1																			1																																																																			1								1		1	1																																											1										1								1					1																					1																											1																				1																																													1					1																																		1																1																																											
TCGA-37-4141-01	1																																																											1												1																																																															1																																																							1														1																				1																													1																																			1					1																								1		1							1																								1				1																			1																																																																																																			1																												
TCGA-56-5898-01	1																																																																									1																																			1																				1																																																																																																																																												1											1																																							1																																																																																																																																																																																	1				
TCGA-34-2608-01	1																																																																																														1																																																																																																																																																																																																																																																																																																																																																																															1							1																															
TCGA-22-5485-01	1																																																																																															1																																																																																																														1																																																																																																																																			1																					1																																																											1										1																																																											1														
TCGA-39-5029-01	1																																																																																																																												1																1				1																																																											1																			1															1																																																																																																																																																																																				1																																																																1																		
TCGA-46-6026-01	1																																																																																																																																																																							1																																	1																					1																																																																																																	1																																																						1																																																																																	1																																										1				
TCGA-66-2734-01	1																																																																																																																																																																																																											1																	1																																																																																																																																																																																									1																																							1																																								1															
TCGA-85-A510-01		1	1																					1						1					1						1									1																1																									1																				1																																	1																																												1																																	1																																								1														1																																																																																																																1																								1																																				1																																							1		1												
TCGA-77-A5G8-01		1		1		1			1														1							1			1		1						1									1																1																		1							1			1																	1																																	1																																												1																																	1																																								1																																																																			1																																											1																1														1										1																																				1									1																														1														
TCGA-58-A46K-01		1		1		1						1											1							1			1		1						1									1																1																		1																											1																																																																													1																																	1																																								1																																																																			1																																																											1														1										1																																													1																																												
TCGA-NC-A5HH-01		1		1		1							1													1				1			1		1	1					1									1				1		1										1							1							1		1		1																											1													1		1																																													1	1																1			1																					1								1	1																																								1					1										1								1					1																					1																		1																			1																																								1									1					1	1									1																														1															1	1																					1													1									
TCGA-58-A46J-01		1		1		1																					1			1	1		1		1						1									1																1																		1																											1																																																																													1																																	1																																								1																																																																			1																																		1																									1														1										1																																													1																																												
TCGA-68-8250-01		1		1		1																						1		1			1		1				1		1									1																1																		1																											1																																																																													1																																	1																			1																					1																																																																			1																																				1																							1														1										1																																													1																																												
TCGA-21-5783-01		1		1		1																								1			1		1						1									1																1					1													1																											1																																																																					1								1																																	1																																								1																																																																			1																																																											1														1										1																																													1																																												
TCGA-L3-A4E7-01		1		1		1																								1			1		1						1									1																1																		1															1												1																														1																																															1																																	1																																								1																																																																			1																																																											1														1										1															1																														1																																												
TCGA-56-8304-01		1		1		1																								1			1		1						1									1																1																		1																											1																																																																													1																																	1																																								1																																																																			1																																																											1														1										1																																													1																																												
TCGA-22-5473-01		1		1			1	1				1											1							1			1	1	1				1		1									1																1																		1																											1																																																																													1																																	1																																								1																																																																			1						1																																														1						1	1														1										1																																													1																																												
TCGA-77-8153-01		1		1				1	1														1							1			1		1						1									1																1																		1																											1																																																																													1																																	1																																								1																																																																			1						1																																																					1														1										1																																													1																																1												
TCGA-43-5670-01		1		1					1	1							1						1							1	1		1		1						1									1																1											1		1					1					1	1	1								1												1																														1			1																																												1																											1						1																									1															1																																																																			1																																		1																									1														1										1											1				1						1															1						1			1																														1														
TCGA-85-A4QR-01		1		1					1									1				1	1					1		1			1		1						1		1							1		1			1											1																		1				1															1					1			1																																																																													1																																	1																			1																					1																								1																																											1														1																						1																	1						1														1										1																		1																											1																																												
TCGA-43-6647-01		1		1						1		1																1		1			1		1						1									1													1		1	1																		1														1													1	1													1																																	1						1																								1																																	1																			1																					1																																																																			1																														1						1																							1														1					1					1																																													1														1				1	1																									
TCGA-NC-A5HK-01		1		1						1		1																		1			1		1						1									1																1																		1																											1																																																																													1																																	1																									1															1																																																																			1																																																											1														1										1																																								1		1			1																																												
TCGA-63-A5MY-01		1		1						1				1			1						1					1		1			1		1						1									1																1											1							1					1	1																					1																																																																													1																											1						1																			1						1															1																																																																			1																																				1																							1														1																					1										1																					1			1																																												
TCGA-52-7810-01		1		1						1				1			1						1										1		1						1									1																1											1							1					1	1																					1													1																																														1																		1			1										1														1						1																									1															1																																																																			1																			1																																								1														1										1											1										1																					1			1																						1													1									
TCGA-33-AASJ-01		1		1						1													1							1			1		1						1																									1																		1																											1																																																																													1																																	1																									1															1																																																																			1																																											1																1														1																																																				1			1																																												
TCGA-34-2609-01		1		1						1																				1			1		1						1									1													1			1																		1														1													1	1																															1																																													1																																	1																									1															1																								1																																											1														1																																													1														1										1																																										1			1														1					1																1									
TCGA-85-8070-01		1		1							1										1		1					1		1			1	1	1						1								1	1						1				1						1																	1	1																											1													1																																															1																	1			1																														1							1												1											1										1																																																																			1																	1		1																	1																							1									1					1										1										1																																			1																						1													1									
TCGA-90-7766-01		1		1								1	1										1	1						1			1		1						1									1																1														1				1																											1																																																													1																1																																	1																																								1														1																																																					1																																																											1														1										1																																													1																																1												
TCGA-58-8390-01		1		1								1	1										1							1	1		1		1						1									1																1					1		1							1				1																											1																																																													1																1																																1	1																																								1					1																		1					1																																							1																																		1																									1														1										1																																													1																																												
TCGA-98-8022-01		1		1								1	1																	1			1																																	1														1				1																											1																																																													1																																																	1																																																																																																											1																																																																									1																																																							1																																												
TCGA-46-3765-01		1		1								1				1	1						1							1			1		1				1		1									1																1											1							1					1	1																			1		1				1																																						1												1																							1																											1						1															1																									1																			1															1																																	1																														1																										1		1	1					1									1				1						1											1										1									1										1					1										1			1							1															1									
TCGA-63-A5MB-01		1		1								1						1					1					1		1			1								1											1			1											1							1											1										1					1												1																														1																																															1													1																			1	1																			1																										1																		1					1																																																																											1																							1														1																									1																														1																																1												
TCGA-NK-A5CX-01		1		1								1											1							1			1		1						1									1																1																		1																											1																																																																													1																																	1																																								1																																																																			1																																																											1														1										1																																													1																																												
TCGA-85-8481-01		1		1								1											1							1			1		1						1									1																1																		1																											1																																																																													1																																	1																																								1																																																																			1																																																											1														1										1																																													1																																												
TCGA-33-6738-01		1		1								1																		1			1		1						1									1																1																		1																											1																																																																													1																																	1																																								1																																																																			1																																																											1														1										1																																													1																																												
TCGA-98-A539-01		1		1												1	1													1			1		1						1									1																1											1							1					1	1																					1																																										1																																			1																											1						1															1																									1																																																																			1																																																								1			1														1										1											1										1																								1																																												
TCGA-96-7544-01		1		1												1					1									1			1		1	1					1									1				1						1						1							1									1		1																											1															1																											1																																			1																								1								1	1															1															1										1					1										1								1					1																					1																		1														1																																										1			1														1	1									1										1																				1															1	1																																											
TCGA-22-4609-01		1		1												1														1			1		1						1									1																1																		1																											1																																										1																																			1																																	1															1																									1																																																																			1																																																								1			1														1										1																																													1																																												
TCGA-60-2695-01		1		1													1						1			1				1			1		1	1					1									1				1												1							1				1					1		1					1	1																					1															1																																																														1													1											1			1					1	1																																								1					1										1								1					1																					1																		1																																																											1														1	1									1											1										1									1															1	1																																											
TCGA-21-1072-01		1		1														1					1							1			1						1		1											1			1											1																		1																											1																																																																													1																																	1																																																																																																											1																																																										1	1														1																																																							1																																												
TCGA-22-4605-01		1		1																1			1							1			1		1		1				1				1					1			1													1																		1																											1																																																																													1																																	1																																								1																																																																			1																																																											1														1										1																																													1																																												
