GeneSymbol	PosteriorP	Selected	ConvergenceIter	KnownCancerGene		BestSSN
PIK3CA	0.6964605413761786	true	-1	true	Set(DDX5	any	PIK3CA, DDX5	any	TP53, RPS27L	any	TP53)
TP53	0.6960954107797536	true	-1	true	Set(CTNNB1	any	VCAN, CTNNB1	any	DLG1, TP53	any	VCAN)
PIK3R1	0.6958588185714062	true	-1	true	Set(DOCK1	any	PIK3CA, JAK1	any	PIK3CA, DOCK1	any	PIK3R1)
CTNNB1	0.6953881571324483	true	-1	true	Set(CTNNB1	any	VCAN, CTNNB1	any	DLG1, TP53	any	VCAN)
PTEN	0.6939349810968934	true	-1	true	Set(PTEN	any	TP53, CHGB	any	PTEN, CHGB	any	MOGS)
MYC	0.6921075207442084	true	-1	true	Set(MTOR	any	TSC2, TP53	any	TSC2, MYC	any	TSC2)
ERBB2	0.6855324653695014	true	-1	true	Set(CTNNB1	any	EGFR, EGFR	any	IRS4, ERBB2	any	IRS4)
VCAN	0.682992868365974	true	-1	true	Set(CTNNB1	any	VCAN, CTNNB1	any	DLG1, TP53	any	VCAN)
APC	0.6800869488920844	true	-1	true	Set(APC	any	TP53, ATR	any	TP53, APC	any	CTNNB1)
MAX	0.6763056964958718	true	-1	true	Set(HUWE1	any	MYC, HUWE1	any	MAX, CTNNB1	any	MYC)
NRXN1	0.6700932105463995	true	-1	false	Set(MACF1	any	NRXN1, MYO16	any	NRXN1, NRXN1	any	SIPA1L1)
BCL2L1	0.6685354979950394	true	-1	false	Set(PGF	any	PIK3CA, BCL2L1	any	PIK3CA, JAK3	any	PIK3R1, BCL2L1	any	JAK3)
MACF1	0.667900637342145	true	-1	true	Set(APC	any	TP53, APC	any	TRIM21, APC	any	MACF1)
MYO16	0.6664712481699722	true	-1	false	Set(MACF1	any	NRXN1, MYO16	any	NRXN1, NRXN1	any	SIPA1L1)
CRK	0.6658214441427379	true	-1	false	Set(ERBB2	any	PTPN3, CRK	any	ERBB2, ERBB2	any	PIK3R1)
