GeneSymbol	PosteriorP	Selected	ConvergenceIter	KnownCancerGene		BestSSN
TP53	0.9502995204081243	true	4311	true	Set(MAX	any	TP53, DNMT3A	any	MAX, CEBPA	any	MAX)	3.354900848947697
ZHX1	0.30560294807535615	true	-1	false	Set(TP53	any	ZHX1, CDKN1A	any	DNMT3A, CDKN1A	any	TP53)	2.649327996793746
DNMT3A	0.2885252044962797	true	-1	true	Set(MAX	any	TP53, DNMT3A	any	MAX, CEBPA	any	MAX)	3.354900848947697
IDH1	0.2808789195295125	true	-1	true	Set(TP53	any	ZHX1, IDH1	any	ZHX1, TP53	any	ZCCHC10)	2.229218825323513
NRAS	0.15416875275367453	true	-1	true	Set(MYB	any	SP100, MYB	any	NRAS, DNMT3A	any	SP100)	2.4769116104461
PPP1CA	0.15159090145386434	true	-1	false	Set(DNMT3A	any	MYC, PPP1CA	any	TP53, NFYB	any	TP53, MYC	any	NFYB)	2.119462397434997
NOM1	0.15019627812838798	true	-1	false	Set(IDH1	any	ZHX1, TP53	any	ZHX1, PPP1CA	any	TP53, NOM1	any	PPP1CA)	2.0838736220340337
PLCE1	0.14547433287518868	true	-1	false	Set(NRAS	any	PLCE1, KIT	any	MYB, MYB	any	NRAS)	2.085911735325531
PTPN11	0.13009514269037742	true	-1	true	Set(MYC	any	TP53, DNMT3A	any	MYC, MYC	any	PDGFRB, PDGFRB	any	PTPN11)	2.5311342746581156
KIT	0.1279273969018373	true	-1	true	Set(KIT	any	PTPN11, SNAI2	any	TP53, KIT	any	SNAI2)	2.3984645466245715
HNRNPK	0.1213118783678922	true	-1	true	Set(TP53	any	UBE2I, HNRNPK	any	U2AF1, HNRNPK	any	UBE2I, HNRNPK	any	MATR3)	1.9477459432841495
BCL2L1	0.12046971864043429	true	-1	true	Set(BCL2L1	any	TP53, MYC	any	TP53, DNMT3A	any	MYC, CDKN1A	any	DNMT3A)	2.119462397434997
EGFR	0.11593675866508818	true	-1	true	Set(CBL	any	KIT, EGFR	any	TP53, CBL	any	EGFR)	2.294911156031298
MAX	0.11567385946164263	true	-1	true	Set(MAX	any	TP53, DNMT3A	any	MAX, CEBPA	any	MAX)	3.354900848947697
U2AF1	0.11266661631475666	true	-1	true	Set(TP53	any	UBE2I, HNRNPK	any	U2AF1, HNRNPK	any	UBE2I, HNRNPK	any	MATR3)	1.9477459432841495
TK1	0.11068252582638963	true	-1	false	Set(DNMT3A	any	MYC, TK1	any	TP53, MYC	any	TK1)	2.649327996793746
APC	0.1101167630548168	true	-1	true	Set(APC	any	TP53, IDH1	any	ZHX1, TP53	any	ZHX1, APC	any	SMC3)	2.1258268733816736
ZCCHC10	0.10906464763408819	true	-1	false	Set(MYC	any	TP53, DNMT3A	any	MYC, TP53	any	ZCCHC10)	2.8117048979909196
HDAC3	0.10779246193756392	true	-1	false	Set(UBE2H	any	ZBTB17, HDAC3	any	ZBTB17, DNMT3A	any	ZBTB17)	2.869428246767975
MYC	0.10678181903280783	true	-1	true	Set(MYC	any	TP53, DNMT3A	any	MYC, CEBPA	any	MYC)	3.354900848947697
PDIA4	0.1029425344808707	true	-1	true	Set(TP53	any	ZHX1, IDH1	any	ZHX1, BCL2L1	any	PDIA4, BCL2L1	any	ZHX1)	2.095741732923815
MATR3	0.10173643762329394	true	-1	false	Set(TP53	any	UBE2I, HNRNPK	any	U2AF1, HNRNPK	any	UBE2I, HNRNPK	any	MATR3)	1.9477459432841495
MTUS2	0.10003335007004188	true	-1	true	Set(DCTN4	any	MTUS2, DCTN4	any	GOLGA2, DNMT3A	any	TCL1A, GOLGA2	any	TCL1A)	2.068302823765658
FXR2	0.09936946743021834	true	-1	false	Set(CEP55	any	RBM22, CEP55	any	TCL1A, DNMT3A	any	TCL1A, CEP55	any	FXR2)	2.151145536240277
ZBTB17	0.0984235203056602	true	-1	false	Set(UBE2H	any	ZBTB17, HDAC3	any	ZBTB17, DNMT3A	any	ZBTB17)	2.869428246767975
RBBP4	0.09775603756512218	true	-1	false	Set(CDKN1A	any	RBBP4, CDKN1A	any	DNMT3A, CDKN1A	any	TP53)	2.8901870588167173
WDR60	0.09740075006012072	true	-1	false	Set(DNMT3A	any	MYC, MYC	any	TK1, TK1	any	WDR60)	2.282023088386225
CEBPA	0.0972301632404522	true	-1	true	Set(MAX	any	TP53, DNMT3A	any	MAX, CEBPA	any	MAX)	3.354900848947697
CDKN1A	0.09634198140817743	true	-1	true	Set(CDKN1A	any	RBBP4, CDKN1A	any	DNMT3A, CDKN1A	any	TP53)	2.8901870588167173
PFDN1	0.09470246248787453	true	-1	false	Set(CDKN1A	any	DNMT3A, CDKN1A	any	INPP5K, INPP5K	any	PFDN1)	2.568352777546806
RAB4A	0.09465430859710473	true	-1	false	Set(MAX	any	TP53, DNMT3A	any	MAX, RAB4A	any	TP53)	2.649327996793746
