GeneSymbol	PosteriorP	Selected	ConvergenceIter	KnownCancerGene		BestSSN
PIK3CA	NA	true	NA	true	NA
TP53	NA	true	NA	true	NA
MYC	NA	true	NA	true	NA
CCND1	NA	true	NA	true	NA
ERBB2	NA	true	NA	true	NA
PAK1	NA	true	NA	true	NA
PIK3R1	NA	true	NA	true	NA
RPS6KB1	NA	true	NA	true	NA
AKT1	NA	true	NA	true	NA
PTEN	NA	true	NA	true	NA
RB1	NA	true	NA	true	NA
CDH1	NA	true	NA	true	NA
GAB2	NA	true	NA	false	NA
STAT3	NA	true	NA	true	NA
MYB	NA	true	NA	true	NA
MCL1	NA	true	NA	false	NA
EGFR	NA	true	NA	true	NA
DDX5	NA	true	NA	true	NA
MDM2	NA	true	NA	true	NA
BRCA1	NA	true	NA	true	NA
MAX	NA	true	NA	true	NA
MAP3K1	NA	true	NA	true	NA
UFD1L	NA	true	NA	false	NA
CRK	NA	true	NA	false	NA
VAV2	NA	true	NA	false	NA
AR	NA	true	NA	true	NA
CCNB1	NA	true	NA	false	NA
MTOR	NA	true	NA	true	NA
FOXA1	NA	true	NA	true	NA
CDC42	NA	true	NA	true	NA
CDKN1A	NA	true	NA	true	NA
FOXO3	NA	true	NA	true	NA
TK1	NA	true	NA	false	NA
RAC1	NA	true	NA	true	NA
APC	NA	true	NA	true	NA
JAK2	NA	true	NA	true	NA
ATM	NA	true	NA	true	NA
TRRAP	NA	true	NA	true	NA
IKBKB	NA	true	NA	false	NA
SOS1	NA	true	NA	true	NA
NFYC	NA	true	NA	false	NA
RHOA	NA	true	NA	true	NA
PDGFRB	NA	true	NA	true	NA
GSK3B	NA	true	NA	true	NA
JUN	NA	true	NA	true	NA
FRS2	NA	true	NA	true	NA
CTNNB1	NA	true	NA	true	NA
NCOR1	NA	true	NA	true	NA
GRB2	NA	true	NA	true	NA
