GeneSymbol	PosteriorP	Selected	ConvergenceIter	KnownCancerGene		BestSSN
APC	0.696791873323828	true	-1	true	Set(TCF7L2	any	TLE4, CUL1	any	TCF7L2, APC	any	CUL1)
TP53	0.6963246138297934	true	-1	true	Set(BCL2L1	any	TP53, IDH1	any	ZHX1, BCL2L1	any	ZHX1)
CTNNB1	0.6938185947351069	true	-1	true	Set(CTNNB1	any	MED12, CTNNB1	any	FAM123B, APC	any	FAM123B)
NAV3	0.6912344222493333	true	-1	true	Set(APC	any	NAV3, APC	any	COG5, APC	any	NCKAP5L)
SMAD4	0.6906560143506049	true	-1	true	Set(ESR1	any	PIK3CA, ESR1	any	SMAD4, ESR1	any	KIF1A)
KRT23	0.6903481907288158	true	-1	false	Set(APC	any	TP53, APC	any	KRT23, APC	any	XPO1)
PIK3CA	0.6902507063530943	true	-1	true	Set(ESR1	any	PIK3CA, ESR1	any	SMAD4, ESR1	any	KIF1A)
ANKRD17	0.6901951989380741	true	-1	false	Set(CTNNB1	any	TLE2, ANKRD17	any	APC, APC	any	CTNNB1)
NEB	0.6900602289300921	true	-1	true	Set(APC	any	COG4, APC	any	NEB, COG4	any	SEPT2)
NUPL2	0.6890858680329982	true	-1	false	Set(APC	any	KRT13, APC	any	SPECC1L, APC	any	NUPL2)
GIGYF2	0.6889800561978687	true	-1	true	Set(APC	any	GIGYF2, AXIN2	any	TCF7L2, APC	any	AXIN2)
GRB2	0.6889780700286374	true	-1	true	Set(GRB2	any	SNRNP200, MEGF10	any	SNRNP200, APC	any	SNRNP200)
EGFR	0.6875660031697695	true	-1	true	Set(ANKS1B	any	ERBB2, ANKS1B	any	EGFR, ANKS1B	any	ERBB4)
KRT14	0.6875068332907612	true	-1	false	Set(APC	any	NUP214, APC	any	KRT14, NUP214	any	SMAD4)
MYC	0.687502494863922	true	-1	true	Set(APC	any	CREBBP, CREBBP	any	PPARD, CREBBP	any	MYC)
VCAN	0.6873595710633247	true	-1	true	Set(CTNNB1	any	VCAN, ARIH2	any	TP53, TP53	any	VCAN)
NCKAP5L	0.6873105827838086	true	-1	false	Set(APC	any	NCKAP5L, CNTNAP4	any	MACF1, APC	any	MACF1)
NUP98	0.6868443894042292	true	-1	true	Set(APC	any	NAV3, APC	any	NUP98, APC	any	NUPL2)
RAC1	0.686510942780674	true	-1	true	Set(APC	any	SPATA13, RAC1	any	SPATA13, PAK1	any	SPATA13)
MYST1	0.6857932976013689	true	-1	false	Set(APC	any	TP53, MYST1	any	TP53, APC	any	LRP6)
ERBB2	0.6856779225077235	true	-1	true	Set(ANKS1B	any	ERBB2, ANKS1B	any	EGFR, ANKS1B	any	ERBB4)
NLRC4	0.6844770249060611	true	-1	false	Set(NLRC4	any	TP53, TP53	any	TP53I3, TP53I3	any	UBR1)
